objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
1237654668664569879,156.20303,-1.2099214,18.21324,17.28047,17.04726,16.95849,16.9251,18.20655,17.29447,17.04677,16.95373,16.93403,0.000824061,0.9327621,0.2332172,0.08876228,0.03339005,STAR
1237651799626219617,156.19528,-1.0653714,20.41305,19.44709,19.11312,18.98635,18.93013,20.40596,19.45413,19.12733,18.99314,18.93087,0.0009197053,0.9659576,0.3339748,0.12677,0.05621529,STAR
1237648720146596052,156.28041,-0.84991659,19.42491,18.05138,17.5828,17.41932,17.30294,19.41942,18.06509,17.60209,17.43888,17.32039,-0.0001585595,1.373531,0.4685783,0.1634846,0.1163731,STAR
1237651800700223583,156.77149,-0.3133401,18.85225,17.76949,17.37765,17.2543,17.18389,18.85157,17.77434,17.38284,17.26196,17.17934,-3.953706e-05,1.08276,0.3918381,0.1233501,0.07040977,STAR
1237654668664504329,155.9947,-1.2363021,18.21427,16.92462,16.41918,16.23681,16.1545,18.21803,16.93885,16.42786,16.23555,16.15318,0.0004760411,1.289652,0.5054398,0.1823711,0.08231163,STAR
1237654668664439040,155.93894,-1.2346038,20.17849,18.48459,17.91504,17.73146,17.62235,20.1696,18.47668,17.91018,17.73122,17.6279,0.0002404387,1.693899,0.5695553,0.1835785,0.1091022,STAR
1237648720146399490,155.83915,-0.95969484,21.78913,19.0832,17.85016,17.32947,17.03002,21.72956,19.0721,17.8405,17.31935,17.02283,-0.0001092642,2.705935,1.233038,0.5206928,0.2994537,STAR
1237648720683532302,156.36304,-0.62362668,20.1492,19.07907,18.70456,18.57945,18.61536,20.12021,19.09284,18.72249,18.58993,18.60399,0.0008591572,1.070129,0.3745117,0.1251049,-0.03590775,STAR
1237654669738311919,156.28679,-0.4163458,20.28107,19.28332,18.97039,18.78347,18.75599,20.27147,19.29667,19.0022,18.80402,18.78069,0.0005513447,0.9977436,0.3129349,0.1869164,0.0274868,STAR
1237651800699961479,156.2148,-0.26282603,21.03244,18.93945,18.1411,17.85559,17.77518,20.99964,18.92305,18.12021,17.86535,17.76499,0.0003809686,2.092993,0.7983437,0.2855129,0.08041,STAR
1237654669735428421,149.65236,-0.38533516,24.47116,21.19336,19.65764,18.46932,17.80843,24.39055,21.16223,19.64587,18.45672,17.79429,-2.547461e-05,3.2778,1.535719,1.188322,0.6608868,STAR
1237651800160010291,149.21152,-0.63278803,18.58402,17.65395,17.35966,17.26434,17.27339,18.60131,17.68586,17.35393,17.26936,17.26525,0.0002515242,0.9300709,0.2942924,0.09532547,-0.009050369,STAR
1237654669200326851,153.64691,-0.78733235,19.17511,18.76778,18.82976,18.98189,19.17761,19.14898,18.77858,18.81577,18.97223,19.16407,-0.0001265908,0.4073277,-0.06197929,-0.1521339,-0.195715,STAR
1237648720145416494,153.57418,-0.95260259,19.93416,18.94408,18.58561,18.53139,18.46219,19.87818,18.93433,18.57863,18.51645,18.44249,0.000373751,0.9900742,0.3584709,0.05422783,0.06919289,STAR
